int	string	string	int	int	int	int	int	int	int	int	int	int	int	int	DTActorSkill[]	DTActorStory[]	DTActorFeature[]	DTActorCharacter[]	int	DTItemNum	DTItemNum[]	DTItemNum	int	int	int	int	int	int	string	string
ID	英文名字	中文名字	随机名字|n|调用GameRandomName表格中的ID	星级|n|1301一星|n|1302二星|n|1303三星|n|1304四星|n|1305五星|n|1306六星	性别|n|1101女|n|1102男	国籍     1201美国   1202欧洲   1203亚洲	表演类型    1401演技派    1402偶像派	年龄类型   1501青春型   1502成熟型	美术资源ID	场面	表演	剧情	艺术	娱乐	技能  技能组id：开放等级	擅长剧本风格ID   剧本风格：擅长等级：加成属性	擅长剧本元素 ID   剧本元素 ：擅长等级：加成属性	擅长角色类型ID    角色类型：擅长等级：加成属性	神秘擅长ID	招募消耗                 物品ID：物品数量	重复招募奖励|n|物品ID：物品数量|n|第一个为艺人合同，第二个为资产物品	启用雪藏艺人消耗	星探随机值	初始经验	初始片酬	初始体力	初始培养次数	初始赠送资产次数	演员描述	备注
id	en_name	cn_name	random_name	star	sex	country	show_type	age_type	avatar	spectacle	perform	plot	art	entertainment	skill	story_type	story_feature	character	surprise	cost	recruit_reward	enable_cost	random_value	exp	paycheck	stamina	culture	assets	en_tips	cn_tips
9999	Performer	临时演员	0	0	0	0	0	0	9999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	临时演员
1001	安吉丽娜朱莉	安吉丽娜朱莉	2001	1305	1101	1201	1401	1502	1001	10	10	20	0	10	1001:31;1002:101;1003:201	1707:2:1601;1708:2:1602;1705:2:1601	1804:2:1603;1817:2:1603;1803:2:1601;1802:2:1602	1902:2:1601;1904:3:1602;1907:2:1602;1919:3:1602;1926:2:1602;1937:3:1601;1948:2:1601	1902	6:50000	7001:50;6101:2000	6:5000	100	0	50	100	30	100	0	安吉丽娜·朱莉（Angelina Jolie） [1]  ，本名安吉丽娜·朱莉·沃伊特，1975年6月4日出生于美国洛杉矶，毕业于李·斯特拉斯伯格戏剧与电影研究所和纽约大学电影学院，好莱坞电影明星、社会活动家、联合国难民署高级专员特使，英国伦敦政治经济学院“实践客座教授”。
1002	克里斯·埃文斯	克里斯·埃文斯	2002	1305	1102	1201	1402	1501	1002	10	20	10	0	10	1001:31;1002:101;1003:201	1701:3:1603;1707:2:1601;1708:2:1603	1801:3:1601;1817:2:1603;1807:2:1602;1805:2:1601	1901:3:1601;1907:2:1601;1910:2:1603;1913:3:1603;1919:2:1602;1926:3:1603;1928:2:1601	1902	6:50000	7002:50;6101:2000	6:5000	100	0	50	100	30	100	0	2011年，克里斯·埃文斯主演漫改电影《美国队长：复仇者先锋》，片中饰演“美国队长”斯蒂夫·罗杰斯 [8]  ，其后在多部漫威电影出品的作品中饰演该角色。
1003	成龙	成龙	2003	1305	1102	1203	1401	1502	1003	20	10	10	10	0	1001:31;1002:101;1003:201	1705:3:1601;1708:2:1601;1710:3:1602	1809:3:1601;1818:3:1603;1808:3:1601;1810:3:1603	1926:3:1601;1934:3:1601;1907:2:1603;1914:2:1603;1948:2:1602;1937:2:1603;1949:2:1603	1902	6:50000	7003:50;6101:2000	6:5000	100	0	50	100	30	100	0	成龙，1954年4月7日出生于香港中西区，祖籍安徽省芜湖，中国香港男演员、导演、动作指导、制作人、编剧、歌手。
1004	艾玛斯通	艾玛斯通	2004	1304	1101	1201	1402	1501	1004	8	16	8	8	0	1001:31;1002:101;1003:201	1703:1:1601;1702:2:1601	1801:2:1602;1804:1:1602;1811:2:1601;1810:2:1601	1902:2:1601;1908:1:1602;1935:2:1601;1913:2:1603;1942:2:1603	1902	6:15000	7004:40;6101:2000	6:1500	100	0	40	100	30	100	0	艾玛·斯通（Emma Stone），1988年11月6日出生于美国亚利桑那州斯科茨代尔，美国女演员。
1005	麦德斯·米科尔森	麦德斯·米科尔森	2005	1304	1102	1202	1401	1502	1005	8	8	16	0	8	1001:31;1002:101;1003:201	1705:1:1602;1710:2:1602	1807:2:1601;1809:1:1602;1819:1:1602;1808:1:1603	1923:2:1603;1930:2:1601;1911:1:1601;1922:2:1602;1931:2:1601	1902	6:15000	7005:40;6101:2000	6:1500	100	0	40	100	30	100	0	麦德斯·米科尔森（Mads Mikkelsen），1965年11月22日出生于哥本哈根，丹麦男演员。他被誉为“丹麦最性感的男人” [1]  。
1006	巩俐	巩俐	2006	1304	1101	1203	1401	1502	1006	16	8	8	8	0	1001:31;1002:101;1003:201	1709:2:1603;1706:1:1601	1819:2:1601;1805:2:1602;1810:1:1601;1813:1:1601	1949:1:1603;1902:1:1603;1942:1:1603;1909:1:1603;1933:1:1603	1902	6:15000	7006:40;6101:2000	6:1500	100	0	40	100	30	100	0	巩俐（Gong Li），1965年12月31日出生于辽宁省沈阳市，祖籍山东省济南市，新加坡籍华裔女演员，毕业于中央戏剧学院，联合国促进和平艺术家，联合国全球环境保护大使。
1007	尼古拉斯凯奇	尼古拉斯凯奇	2007	1303	1102	1201	1401	1502	1007	6	12	6	0	6	1001:31;1002:101;1003:201	1701:2:1601;1708:2:1602	1801:2:1603;1817:1:1602;1818:2:1602	1901:2:1601;1934:1:1603;1911:2:1602;1936:1:1603	1902	6:2000	7007:30;6101:2000	6:200	100	0	30	100	30	100	0	尼古拉斯·凯奇（Nicolas Cage），1964年1月7日出生于美国加利福利亚州，美国演员。
1008	艾米莉亚·克拉克	艾米莉亚·克拉克	2008	1303	1101	1202	1402	1501	1008	12	6	6	6	0	1001:31;1002:101;1003:201	1706:1:1603;1703:2:1602	1807:2:1602;1802:2:1601;1806:1:1602	1932:2:1602;1909:1:1603;1910:2:1602;1943:1:1603	1902	6:2000	7008:30;6101:2000	6:200	100	0	30	100	30	100	0	艾米莉亚·克拉克（Emilia Clarke），全名艾米莉亚·伊莎贝尔·尤菲米娅·萝丝·克拉克‬（Emilia Isabelle Euphemia Rose Clarke） [1]  ，1986年10月23日出生于英国伦敦，英国女演员。
1009	章子怡	章子怡	2009	1303	1101	1203	1402	1501	1009	6	6	12	0	6	1001:31;1002:101;1003:201	1709:2:1601;1708:1:1603	1801:2:1601;1808:2:1603;1805:2:1601	1932:2:1603;1926:2:1602;1916:1:1601;1948:2:1601	1902	6:2000	7009:30;6101:2000	6:200	100	0	30	100	30	100	0	章子怡，1979年2月9日出生于北京市，华语影视女演员、制片人，毕业于中央戏剧学院表演系。
1010	阿什顿库彻	阿什顿库彻	2010	1302	1102	1201	1402	1502	1010	10	5	5	5	0	1001:31;1002:101;1003:201	1708:2:1601	1815:2:1601;1803:1:1601;1808:1:1603	1937:1:1601;1911:2:1601;1930:2:1602	1902	6:1000	7010:20;6101:2000	6:100	100	0	20	100	30	100	0	阿什顿库彻（Christopher Ashton Kutcher），1978年2月7号出生于美国爱荷华州锡达拉皮兹，美国演员、制作人。
1011	尼尔帕特里克哈里斯	尼尔帕特里克哈里斯	2011	1302	1102	1201	1401	1502	1011	5	10	5	0	5	1001:31;1002:101;1003:201	1703:2:1601	1804:1:1602;1803:2:1603;1810:1:1602	1902:1:1603;1917:2:1602;1941:2:1601	1902	6:1000	7011:20;6101:2000	6:100	100	0	20	100	30	100	0	尼尔·帕特里克·哈里斯（Neil Patrick Harris），1973年6月15日出生于新墨西哥州，美国影视演员、主持人。
1012	范冰冰	范冰冰	2012	1302	1101	1203	1402	1501	1012	5	5	10	0	5	1001:31;1002:101;1003:201	1709:1:1601	1803:2:1603;1804:2:1603;1819:2:1602	1909:1:1602;1940:1:1602;1932:1:1603	1902	6:1000	7012:20;6101:2000	6:100	100	0	20	100	30	100	0	范冰冰，1981年9月16日出生于山东青岛，华语影视女演员、制片人、流行歌手，毕业于上海师范大学谢晋影视艺术学院。
1013	特工卡特	特工卡特	2013	1301	1101	1202	1402	1501	1013	8	4	4	4	0	1001:31;1002:101;1003:201	1702:1:1601	1809:2:1602;1817:2:1602	1937:1:1601;1910:2:1601	1902	6:500	7013:10;6101:2000	6:50	100	0	10	100	30	100	0	《特工卡特》（Marvel's Agent Carter，或简称：Agent Carter）是漫威电视联合ABC电视台推出的一部科幻电视连续剧，是漫威电影宇宙的一部分
1014	扎克埃夫隆	扎克埃夫隆	2014	1301	1102	1201	1402	1501	1014	4	8	4	0	4	1001:31;1002:101;1003:201	1703:1:1601	1804:1:1602;1812:1:1601	1908:1:1603;1902:1:1603	1902	6:500	7014:10;6101:2000	6:50	100	0	10	100	30	100	0	扎克·埃夫隆（Zac Efron），1987年10月18日出生于美国加利福尼亚州圣路易斯奥比斯波，美国影视男演员。
1015	孔侑	孔侑	2015	1301	1102	1203	1401	1502	1015	4	4	8	4	0	1001:31;1002:101;1003:201	1710:1:1602	1801:1:1602;1807:1:1601	1934:2:1602;1910:2:1602	1902	6:500	7015:10;6101:2000	6:50	100	0	10	100	30	100	0	孔刘（Gong Yoo），1979年7月10日出生于釜山，韩国男演员，朝鲜汉字孔地哲（공지철)，孔刘艺名是来自父母姓氏，曾被译为孔侑、孔兪、 孔俞、 孔宥、 孔郁、 孔柳、孔佑、公兪、 公柳等等 [1]  。
1016	奥黛丽·赫本	奥黛丽·赫本	2016	1305	1101	1202	1402	1501	1016	10	20	10	0	10	1001:31;1002:101;1003:201	1704:3:1603;1703:2:1602;1709:2:1601	1803:2:1601;1804:3:1603;1805:2:1601;1819:2:1602	1902:3:1601;1904:2:1603;1932:2:1602;1940:2:1601;1909:3:1601;1942:2:1603;1931:2:1603	1902	6:50000	7016:50;6101:2000	6:5000	100	0	50	100	30	100	0	奥黛丽·赫本（Audrey Hepburn，1929年5月4日—1993年1月20日），出生于比利时布鲁塞尔，英国电影、舞台剧女演员。
1017	汤姆·希德勒斯顿	汤姆·希德勒斯顿	2017	1305	1102	1202	1401	1501	1017	20	10	10	0	10	1001:31;1002:101;1003:201	1707:3:1601;1710:3:1603;1702:3:1601	1806:2:1601;1802:2:1602;1819:3:1603;1808:2:1601	1931:2:1602;1932:2:1601;1930:2:1603;1943:2:1602;1923:2:1603;1929:2:1603;1945:3:1601	1902	6:50000	7017:50;6101:2000	6:5000	100	0	50	100	30	100	0	汤姆·希德勒斯顿（Tom Hiddleston），1981年2月9日生于英国伦敦，英国电影、电视广播及舞台剧演员。
