int	int	int	int	int	int	int	int	string
ID|n|艺人ID+赠送类型+赠送等级	赠送类型	赠送等级	赠送物品	赠送数量	物品上限	增长属性种类	增长值	备注
id	type	lv	item	number	max_num	actor_property	value	cn_tips
100101001	1	1	6105	10	1175	1602	15	
100101002	1	2	6105	10	1175	1602	15	
100101003	1	3	6105	10	1175	1602	15	
100101004	1	4	6105	10	1175	1602	15	
100101005	1	5	6105	10	1175	1602	15	
100101006	1	6	6105	15	1175	1602	15	
100101007	1	7	6105	15	1175	1602	15	
100101008	1	8	6105	15	1175	1602	15	
100101009	1	9	6105	15	1175	1602	15	
100101010	1	10	6105	15	1175	1602	15	
100101011	1	11	6105	25	1175	1602	15	
100101012	1	12	6105	25	1175	1602	15	
100101013	1	13	6105	25	1175	1602	15	
100101014	1	14	6105	25	1175	1602	15	
100101015	1	15	6105	25	1175	1602	15	
100101016	1	16	6105	25	1175	1602	15	
100101017	1	17	6105	25	1175	1602	15	
100101018	1	18	6105	25	1175	1602	15	
100101019	1	19	6105	25	1175	1602	15	
100101020	1	20	6105	25	1175	1602	15	
100101021	1	21	6105	25	1175	1602	15	
100101022	1	22	6105	25	1175	1602	15	
100101023	1	23	6105	25	1175	1602	15	
100101024	1	24	6105	25	1175	1602	15	
100101025	1	25	6105	25	1175	1602	15	
100101026	1	26	6105	25	1175	1602	15	
100101027	1	27	6105	25	1175	1602	15	
100101028	1	28	6105	25	1175	1602	15	
100101029	1	29	6105	25	1175	1602	15	
100101030	1	30	6105	25	1175	1602	15	
100101031	1	31	6105	25	1175	1602	15	
100101032	1	32	6105	25	1175	1602	15	
100101033	1	33	6105	25	1175	1602	15	
100101034	1	34	6105	25	1175	1602	15	
100101035	1	35	6105	25	1175	1602	15	
100101036	1	36	6105	25	1175	1602	15	
100101037	1	37	6105	25	1175	1602	15	
100101038	1	38	6105	25	1175	1602	15	
100101039	1	39	6105	25	1175	1602	15	
100101040	1	40	6105	25	1175	1602	15	
100101041	1	41	6105	30	1175	1602	15	
100101042	1	42	6105	30	1175	1602	15	
100101043	1	43	6105	30	1175	1602	15	
100101044	1	44	6105	30	1175	1602	15	
100101045	1	45	6105	30	1175	1602	15	
100101046	1	46	6105	30	1175	1602	15	
100101047	1	47	6105	30	1175	1602	15	
100101048	1	48	6105	30	1175	1602	15	
100101049	1	49	6105	30	1175	1602	15	
100101050	1	50	6105	30	1175	1602	15	
100101051	1	51	6205	40	2675	1602	15	
100101052	1	52	6205	40	2675	1602	15	
100101053	1	53	6205	40	2675	1602	15	
100101054	1	54	6205	40	2675	1602	15	
100101055	1	55	6205	40	2675	1602	15	
100101056	1	56	6205	45	2675	1602	15	
100101057	1	57	6205	45	2675	1602	15	
100101058	1	58	6205	45	2675	1602	15	
100101059	1	59	6205	45	2675	1602	15	
100101060	1	60	6205	45	2675	1602	15	
100101061	1	61	6205	55	2675	1602	15	
100101062	1	62	6205	55	2675	1602	15	
100101063	1	63	6205	55	2675	1602	15	
100101064	1	64	6205	55	2675	1602	15	
100101065	1	65	6205	55	2675	1602	15	
100101066	1	66	6205	55	2675	1602	15	
100101067	1	67	6205	55	2675	1602	15	
100101068	1	68	6205	55	2675	1602	15	
100101069	1	69	6205	55	2675	1602	15	
100101070	1	70	6205	55	2675	1602	15	
100101071	1	71	6205	55	2675	1602	15	
100101072	1	72	6205	55	2675	1602	15	
100101073	1	73	6205	55	2675	1602	15	
100101074	1	74	6205	55	2675	1602	15	
100101075	1	75	6205	55	2675	1602	15	
100101076	1	76	6205	55	2675	1602	15	
100101077	1	77	6205	55	2675	1602	15	
100101078	1	78	6205	55	2675	1602	15	
100101079	1	79	6205	55	2675	1602	15	
100101080	1	80	6205	55	2675	1602	15	
100101081	1	81	6205	55	2675	1602	15	
100101082	1	82	6205	55	2675	1602	15	
100101083	1	83	6205	55	2675	1602	15	
100101084	1	84	6205	55	2675	1602	15	
100101085	1	85	6205	55	2675	1602	15	
100101086	1	86	6205	55	2675	1602	15	
100101087	1	87	6205	55	2675	1602	15	
100101088	1	88	6205	55	2675	1602	15	
100101089	1	89	6205	55	2675	1602	15	
100101090	1	90	6205	55	2675	1602	15	
100101091	1	91	6205	60	2675	1602	15	
100101092	1	92	6205	60	2675	1602	15	
100101093	1	93	6205	60	2675	1602	15	
100101094	1	94	6205	60	2675	1602	15	
100101095	1	95	6205	60	2675	1602	15	
100101096	1	96	6205	60	2675	1602	15	
100101097	1	97	6205	60	2675	1602	15	
100101098	1	98	6205	60	2675	1602	15	
100101099	1	99	6205	60	2675	1602	15	
100101100	1	100	6205	60	2675	1602	15	
100101101	1	101	6305	70	4175	1602	15	
100101102	1	102	6305	70	4175	1602	15	
100101103	1	103	6305	70	4175	1602	15	
100101104	1	104	6305	70	4175	1602	15	
100101105	1	105	6305	70	4175	1602	15	
100101106	1	106	6305	75	4175	1602	15	
100101107	1	107	6305	75	4175	1602	15	
100101108	1	108	6305	75	4175	1602	15	
