int	int	DTItemNum	int	int	int	int	int	int	int	int	int	string
ID|n|艺人ID+等级	等级	升级消耗|n|消耗物品：物品数量	培养次数上限增长	赠送资产上限增长	体力上限增长	片酬增长	场面	表演	剧情	艺术	娱乐	备注
id	lv	cost	culture	assets	stamina	paycheck	spectacle	perform	plot	art	entertainment	cn_tips
1001001	1	2:260	1	0	0	5	3	0	6	0	0	
1001002	2	2:510	1	0	0	5	0	3	0	0	3	
1001003	3	2:760	1	0	0	5	4	0	8	0	0	
1001004	4	2:1010	1	0	0	5	0	4	0	0	4	
1001005	5	2:1270	1	0	0	10	4	0	9	0	0	
1001006	6	2:1520	1	0	0	10	0	4	0	0	4	
1001007	7	2:1770	1	0	0	10	5	0	10	0	0	
1001008	8	2:2020	1	0	0	10	0	5	0	0	5	
1001009	9	2:2280	1	0	0	10	5	0	11	0	0	
1001010	10	2:2530	1	250	10	15	0	6	0	0	6	
1001011	11	2:2780	1	0	0	15	6	0	12	0	0	
1001012	12	2:3030	1	0	0	15	0	6	0	0	6	
1001013	13	2:3290	1	0	0	15	7	0	14	0	0	
1001014	14	2:3540	1	0	0	15	0	7	0	0	7	
1001015	15	2:3790	1	0	0	20	7	0	15	0	0	
1001016	16	2:4040	1	0	0	20	0	8	0	0	8	
1001017	17	2:4300	1	0	0	20	8	0	16	0	0	
1001018	18	2:4550	1	0	0	20	0	8	0	0	8	
1001019	19	2:4800	1	0	0	20	8	0	17	0	0	
1001020	20	2:5050	1	250	10	25	0	9	0	0	9	
1001021	21	2:5310	1	0	0	25	9	0	19	0	0	
1001022	22	2:5560	1	0	0	25	0	9	0	0	9	
1001023	23	2:5810	1	0	0	25	10	0	20	0	0	
1001024	24	2:6060	1	0	0	25	0	10	0	0	10	
1001025	25	2:6310	1	0	0	30	10	0	21	0	0	
1001026	26	2:6570	1	0	0	30	0	11	0	0	11	
1001027	27	2:6820	1	0	0	30	11	0	22	0	0	
1001028	28	2:7070	1	0	0	30	0	11	0	0	11	
1001029	29	2:7320	1	0	0	30	12	0	24	0	0	
1001030	30	2:21982	1	250	10	35	0	12	0	0	12	
1001031	31	2:22707	1	0	0	35	12	0	25	0	0	
1001032	32	2:23432	1	0	0	35	0	12	0	0	12	
1001033	33	2:24157	1	0	0	35	13	0	26	0	0	
1001034	34	2:24911	1	0	0	35	0	13	0	0	13	
1001035	35	2:25636	1	0	0	40	13	0	27	0	0	
1001036	36	2:26361	1	0	0	40	0	14	0	0	14	
1001037	37	2:27086	1	0	0	40	14	0	29	0	0	
1001038	38	2:27840	1	0	0	40	0	14	0	0	14	
1001039	39	2:28565	1	0	0	40	15	0	30	0	0	
1001040	40	2:29290	1	250	10	45	0	15	0	0	15	
1001041	41	2:30015	1	0	0	45	15	0	31	0	0	
1001042	42	2:30769	1	0	0	45	0	16	0	0	16	
1001043	43	2:31494	1	0	0	45	16	0	32	0	0	
1001044	44	2:32219	1	0	0	45	0	16	0	0	16	
1001045	45	2:32944	1	0	0	50	16	0	33	0	0	
1001046	46	2:33698	1	0	0	50	0	17	0	0	17	
1001047	47	2:34423	1	0	0	50	17	0	35	0	0	
