int	int	int	string	DTItemNum[]	int[]	DTRandomInterval[]	string	int	string
ID|n|艺人ID+培养次数+培养类型	培养次数	培养类型	培养名称	培养消耗|n|金币：消耗数量；进修券：消耗数量	提升属性类型	属性随机区间	界面名称	播放动作	备注
id	train_num	train_type	en_name	cost	property	property_interval	scene_name	action	cn_tips
100100101	1	1	培养1	2:1300;5004:20	1601;1602;1603	1:2;1:2;1:4	拍电影	1001	
100100102	1	2	培养2	2:1300;5004:20	1602;1603;1605	1:2;1:4;1:2	拍电影	1001	
100100103	1	3	培养3	2:1300;5004:20	1601;1603;1605	1:2;1:4;1:2	拍电影	1001	
100100104	1	4	培养4	2:1300;5004:20	1601;1602;1605	1:2;1:2;1:2	拍电影	1001	
100100201	2	1	培养1	2:2550;5004:20	1601;1602;1603	1:2;1:2;1:4	拍电影	1001	
100100202	2	2	培养2	2:2550;5004:20	1602;1603;1605	1:2;1:4;1:2	拍电影	1001	
100100203	2	3	培养3	2:2550;5004:20	1601;1603;1605	1:2;1:4;1:2	拍电影	1001	
100100204	2	4	培养4	2:2550;5004:20	1601;1602;1605	1:2;1:2;1:2	拍电影	1001	
100100301	3	1	培养1	2:3800;5004:20	1601;1602;1603	1:2;1:2;1:4	拍电影	1001	
100100302	3	2	培养2	2:3800;5004:20	1602;1603;1605	1:2;1:4;1:2	拍电影	1001	
100100303	3	3	培养3	2:3800;5004:20	1601;1603;1605	1:2;1:4;1:2	拍电影	1001	
100100304	3	4	培养4	2:3800;5004:20	1601;1602;1605	1:2;1:2;1:2	拍电影	1001	
100100401	4	1	培养1	2:5050;5004:20	1601;1602;1603	1:2;1:2;1:4	拍电影	1001	
100100402	4	2	培养2	2:5050;5004:20	1602;1603;1605	1:2;1:4;1:2	拍电影	1001	
100100403	4	3	培养3	2:5050;5004:20	1601;1603;1605	1:2;1:4;1:2	拍电影	1001	
100100404	4	4	培养4	2:5050;5004:20	1601;1602;1605	1:2;1:2;1:2	拍电影	1001	
100100501	5	1	培养1	2:6350;5004:20	1601;1602;1603	1:2;1:2;1:4	拍电影	1001	
100100502	5	2	培养2	2:6350;5004:20	1602;1603;1605	1:2;1:4;1:2	拍电影	1001	
100100503	5	3	培养3	2:6350;5004:20	1601;1603;1605	1:2;1:4;1:2	拍电影	1001	
100100504	5	4	培养4	2:6350;5004:20	1601;1602;1605	1:2;1:2;1:2	拍电影	1001	
100100601	6	1	培养1	2:7600;5004:30	1601;1602;1603	2:5;2:5;3:10	拍电影	1001	
100100602	6	2	培养2	2:7600;5004:30	1602;1603;1605	2:5;3:10;2:5	拍电影	1001	
100100603	6	3	培养3	2:7600;5004:30	1601;1603;1605	2:5;3:10;2:5	拍电影	1001	
100100604	6	4	培养4	2:7600;5004:30	1601;1602;1605	2:5;2:5;2:5	拍电影	1001	
100100701	7	1	培养1	2:8850;5004:30	1601;1602;1603	2:5;2:5;3:10	拍电影	1001	
100100702	7	2	培养2	2:8850;5004:30	1602;1603;1605	2:5;3:10;2:5	拍电影	1001	
100100703	7	3	培养3	2:8850;5004:30	1601;1603;1605	2:5;3:10;2:5	拍电影	1001	
100100704	7	4	培养4	2:8850;5004:30	1601;1602;1605	2:5;2:5;2:5	拍电影	1001	
100100801	8	1	培养1	2:10100;5004:30	1601;1602;1603	2:5;2:5;3:10	拍电影	1001	
100100802	8	2	培养2	2:10100;5004:30	1602;1603;1605	2:5;3:10;2:5	拍电影	1001	
100100803	8	3	培养3	2:10100;5004:30	1601;1603;1605	2:5;3:10;2:5	拍电影	1001	
100100804	8	4	培养4	2:10100;5004:30	1601;1602;1605	2:5;2:5;2:5	拍电影	1001	
100100901	9	1	培养1	2:11400;5004:30	1601;1602;1603	2:5;2:5;3:10	拍电影	1001	
100100902	9	2	培养2	2:11400;5004:30	1602;1603;1605	2:5;3:10;2:5	拍电影	1001	
100100903	9	3	培养3	2:11400;5004:30	1601;1603;1605	2:5;3:10;2:5	拍电影	1001	
100100904	9	4	培养4	2:11400;5004:30	1601;1602;1605	2:5;2:5;2:5	拍电影	1001	
100101001	10	1	培养1	2:12650;5004:30	1601;1602;1603	2:5;2:5;3:10	拍电影	1001	
100101002	10	2	培养2	2:12650;5004:30	1602;1603;1605	2:5;3:10;2:5	拍电影	1001	
100101003	10	3	培养3	2:12650;5004:30	1601;1603;1605	2:5;3:10;2:5	拍电影	1001	
100101004	10	4	培养4	2:12650;5004:30	1601;1602;1605	2:5;2:5;2:5	拍电影	1001	
100101101	11	1	培养1	2:13900;5004:45	1601;1602;1603	2:8;2:8;4:16	拍电影	1001	
100101102	11	2	培养2	2:13900;5004:45	1602;1603;1605	2:8;4:16;2:8	拍电影	1001	
100101103	11	3	培养3	2:13900;5004:45	1601;1603;1605	2:8;4:16;2:8	拍电影	1001	
100101104	11	4	培养4	2:13900;5004:45	1601;1602;1605	2:8;2:8;2:8	拍电影	1001	
100101201	12	1	培养1	2:15150;5004:45	1601;1602;1603	2:8;2:8;4:16	拍电影	1001	
100101202	12	2	培养2	2:15150;5004:45	1602;1603;1605	2:8;4:16;2:8	拍电影	1001	
100101203	12	3	培养3	2:15150;5004:45	1601;1603;1605	2:8;4:16;2:8	拍电影	1001	
100101204	12	4	培养4	2:15150;5004:45	1601;1602;1605	2:8;2:8;2:8	拍电影	1001	
100101301	13	1	培养1	2:16450;5004:45	1601;1602;1603	2:8;2:8;4:16	拍电影	1001	
100101302	13	2	培养2	2:16450;5004:45	1602;1603;1605	2:8;4:16;2:8	拍电影	1001	
100101303	13	3	培养3	2:16450;5004:45	1601;1603;1605	2:8;4:16;2:8	拍电影	1001	
100101304	13	4	培养4	2:16450;5004:45	1601;1602;1605	2:8;2:8;2:8	拍电影	1001	
100101401	14	1	培养1	2:17700;5004:45	1601;1602;1603	2:8;2:8;4:16	拍电影	1001	
100101402	14	2	培养2	2:17700;5004:45	1602;1603;1605	2:8;4:16;2:8	拍电影	1001	
100101403	14	3	培养3	2:17700;5004:45	1601;1603;1605	2:8;4:16;2:8	拍电影	1001	
100101404	14	4	培养4	2:17700;5004:45	1601;1602;1605	2:8;2:8;2:8	拍电影	1001	
100101501	15	1	培养1	2:18950;5004:45	1601;1602;1603	2:8;2:8;4:16	拍电影	1001	
100101502	15	2	培养2	2:18950;5004:45	1602;1603;1605	2:8;4:16;2:8	拍电影	1001	
100101503	15	3	培养3	2:18950;5004:45	1601;1603;1605	2:8;4:16;2:8	拍电影	1001	
100101504	15	4	培养4	2:18950;5004:45	1601;1602;1605	2:8;2:8;2:8	拍电影	1001	
100101601	16	1	培养1	2:20200;5004:60	1601;1602;1603	3:11;3:11;6:22	拍电影	1001	
100101602	16	2	培养2	2:20200;5004:60	1602;1603;1605	3:11;6:22;3:11	拍电影	1001	
100101603	16	3	培养3	2:20200;5004:60	1601;1603;1605	3:11;6:22;3:11	拍电影	1001	
100101604	16	4	培养4	2:20200;5004:60	1601;1602;1605	3:11;3:11;3:11	拍电影	1001	
100101701	17	1	培养1	2:21500;5004:60	1601;1602;1603	3:11;3:11;6:22	拍电影	1001	
100101702	17	2	培养2	2:21500;5004:60	1602;1603;1605	3:11;6:22;3:11	拍电影	1001	
100101703	17	3	培养3	2:21500;5004:60	1601;1603;1605	3:11;6:22;3:11	拍电影	1001	
100101704	17	4	培养4	2:21500;5004:60	1601;1602;1605	3:11;3:11;3:11	拍电影	1001	
100101801	18	1	培养1	2:22750;5004:60	1601;1602;1603	3:11;3:11;6:22	拍电影	1001	
100101802	18	2	培养2	2:22750;5004:60	1602;1603;1605	3:11;6:22;3:11	拍电影	1001	
100101803	18	3	培养3	2:22750;5004:60	1601;1603;1605	3:11;6:22;3:11	拍电影	1001	
100101804	18	4	培养4	2:22750;5004:60	1601;1602;1605	3:11;3:11;3:11	拍电影	1001	
100101901	19	1	培养1	2:24000;5004:60	1601;1602;1603	3:11;3:11;6:22	拍电影	1001	
100101902	19	2	培养2	2:24000;5004:60	1602;1603;1605	3:11;6:22;3:11	拍电影	1001	
100101903	19	3	培养3	2:24000;5004:60	1601;1603;1605	3:11;6:22;3:11	拍电影	1001	
100101904	19	4	培养4	2:24000;5004:60	1601;1602;1605	3:11;3:11;3:11	拍电影	1001	
100102001	20	1	培养1	2:25250;5004:60	1601;1602;1603	3:11;3:11;6:22	拍电影	1001	
100102002	20	2	培养2	2:25250;5004:60	1602;1603;1605	3:11;6:22;3:11	拍电影	1001	
100102003	20	3	培养3	2:25250;5004:60	1601;1603;1605	3:11;6:22;3:11	拍电影	1001	
100102004	20	4	培养4	2:25250;5004:60	1601;1602;1605	3:11;3:11;3:11	拍电影	1001	
100102101	21	1	培养1	2:26550;5004:80	1601;1602;1603	4:14;4:14;7:28	拍电影	1001	
100102102	21	2	培养2	2:26550;5004:80	1602;1603;1605	4:14;7:28;4:14	拍电影	1001	
100102103	21	3	培养3	2:26550;5004:80	1601;1603;1605	4:14;7:28;4:14	拍电影	1001	
100102104	21	4	培养4	2:26550;5004:80	1601;1602;1605	4:14;4:14;4:14	拍电影	1001	
100102201	22	1	培养1	2:27800;5004:80	1601;1602;1603	4:14;4:14;7:28	拍电影	1001	
100102202	22	2	培养2	2:27800;5004:80	1602;1603;1605	4:14;7:28;4:14	拍电影	1001	
100102203	22	3	培养3	2:27800;5004:80	1601;1603;1605	4:14;7:28;4:14	拍电影	1001	
100102204	22	4	培养4	2:27800;5004:80	1601;1602;1605	4:14;4:14;4:14	拍电影	1001	
100102301	23	1	培养1	2:29050;5004:80	1601;1602;1603	4:14;4:14;7:28	拍电影	1001	
