int	string	string	string	string	string	string	string	string
ID	英文名称	中文名称	半身像	小图标	碎片图标	模型_皮肤	模型_骨骼	场景_图片
id	en_name	zh_cn_name	body_icon	icon	piece_icon	model_skin	model_bones	bg_pic
1		有所耳闻		PopularityIcon/yousuoerwen				
2		翘首以待		PopularityIcon/qiaoshouyipan				
3		万众瞩目		PopularityIcon/wanzhongzhumu				
4		一票难求		PopularityIcon/yipiaonanqiu				
9998	NPCMale	男NPC	PlayerBodyIcon/npc1			Npc/Man_02/2003_Male	Bones/Man_02	
9999	NPCFemale	女NPC	PlayerBodyIcon/npc2			Npc/Female_01/2004_Famle	Bones/Female_01	
1001	Joan	安吉丽娜朱莉	ActorBodyIcon/Joan	ActorHeadIcon/Joan		Actor/Man_01/1001_Joan	Bones/Man_01	
1002	Sven	克里斯·埃文斯	ActorBodyIcon/Sven	ActorHeadIcon/Sven		Actor/Man_01/1002_Sven	Bones/Man_01	
1003	Drago	成龙	ActorBodyIcon/Drago	ActorHeadIcon/Drago		Actor/Man_01/1003_Drago	Bones/Man_01	
1004	Britney	艾玛斯通	ActorBodyIcon/Britney	ActorHeadIcon/Britney		Actor/Man_01/1004_Britney	Bones/Man_01	
1005	Machel	麦德斯·米科尔森	ActorBodyIcon/Machel	ActorHeadIcon/Machel		Actor/Man_01/1005_Machel	Bones/Man_01	
1006	Purple	巩俐	ActorBodyIcon/Purple	ActorHeadIcon/Purple		Actor/Man_01/1006_Purple	Bones/Man_01	
1007	Lock	尼古拉斯凯奇	ActorBodyIcon/Lock	ActorHeadIcon/Lock		Actor/Man_01/1007_Lock	Bones/Man_01	
1008	Rainborn	艾米莉亚·克拉克	ActorBodyIcon/Rainborn	ActorHeadIcon/Rainborn		Actor/Man_01/1008_Rainborn	Bones/Man_01	
1009	Lily	章子怡	ActorBodyIcon/Lily	ActorHeadIcon/Lily		Actor/Man_01/1009_Lily	Bones/Man_01	
1010	Barton	阿什顿库彻	ActorBodyIcon/Barton	ActorHeadIcon/Barton		Actor/Man_01/1010_Barton	Bones/Man_01	
1011	Stan	尼尔帕特里克哈里斯	ActorBodyIcon/Stan	ActorHeadIcon/Stan		Actor/Man_01/1011_Stan	Bones/Man_01	
1012	Empress	范冰冰	ActorBodyIcon/Empress	ActorHeadIcon/Empress		Actor/Man_01/1012_Empress	Bones/Man_01	
1013	Kris	特工卡特	ActorBodyIcon/Kris	ActorHeadIcon/Kris		Actor/Man_01/1013_Kris	Bones/Man_01	
1014	Ellen	扎克埃夫隆	ActorBodyIcon/Ellen	ActorHeadIcon/Ellen		Actor/Man_01/1014_Ellen	Bones/Man_01	
1015	Glenn	孔侑	ActorBodyIcon/Glenn	ActorHeadIcon/Glenn		Actor/Man_01/1015_Glenn	Bones/Man_01	
1016	Mari	奥黛丽赫本	ActorBodyIcon/Mari	ActorHeadIcon/Mari		Actor/Man_01/1016_Mari	Bones/Man_01	
1017	Taylor	汤姆希德勒斯顿	ActorBodyIcon/Taylor	ActorHeadIcon/Taylor		Actor/Man_01/1017_Taylor	Bones/Man_01	
1018	Bart	布拉德皮特	ActorBodyIcon/Bart	ActorHeadIcon/Bart		Actor/Man_01/1018_Bart	Bones/Man_01	
1019	Sanjay	阿米尔汗	ActorBodyIcon/Sanjay	ActorHeadIcon/Sanjay		Actor/Man_01/1019_Sanjay	Bones/Man_01	
1020	Alfred	本阿弗莱克	ActorBodyIcon/Alfred	ActorHeadIcon/Alfred		Actor/Man_01/1020_Alfred	Bones/Man_01	
1021	Cecilia	凯拉奈特莉	ActorBodyIcon/Cecilia	ActorHeadIcon/Cecilia		Actor/Man_01/1021_Cecilia	Bones/Man_01	
1022	Ben	布莱德利库珀	ActorBodyIcon/Ben	ActorHeadIcon/Ben		Actor/Man_01/1022_Ben	Bones/Man_01	
1023	Bolyd	杰森斯坦森	ActorBodyIcon/Bolyd	ActorHeadIcon/Bolyd		Actor/Man_01/1023_Bolyd	Bones/Man_01	
1024	Zoe	米拉乔沃维奇	ActorBodyIcon/Zoe	ActorHeadIcon/Zoe		Actor/Man_01/1024_Zoe	Bones/Man_01	
1025	Parsifal	泰伊谢里丹	ActorBodyIcon/Parsifal	ActorHeadIcon/Parsifal		Actor/Man_01/1025_Parsifal	Bones/Man_01	
