int	string
屏蔽字的ID	内容
id	text
1000	'
1001	*
1002	`
1003	/
1004	\
1005	[
1006	]
1007	【
1008	】
1009	|
1010	<
1011	>
1012	shit
1013	fuck
1014	moron
1015	whore
1016	prostitute
1017	bastard
1018	bitch
1019	fucker
1020	gm
1021	g.m
1022	g,m
1023	g^m
1024	g~m
1025	g`m
1026	g*m
1027	g&m
1028	g1m
1029	g2m
1030	g3m
1031	g#m
1032	g%m
1033	g=m
1034	g-m
1035	g_m
1036	g\m
1037	g|m
1038	g+m
1039	g/m
1040	g>m
1041	g<m
1042	wl
1043	gzm
1044	gqm
1045	ghm
1046	※
1047	▁
1048	▂
1049	▃
1050	▄
1051	▅
1052	▆
1053	▇
1054	█
1055	▉
1056	▊
1057	▋
1058	▌
1059	▍
1060	▎
1061	▓
1062	■
1063	□
1064	▲
1065	△
1066	▼
1067	▽
1068	◆
1069	◇
1070	○
1071	◎
1072	●
1073	◢
1074	◣
1075	◤
1076	◥
1077	★
1078	☆
1079	⊙
1080	♀
1081	⊕
1082	♂
1083	〃
1084	〒
1085	〝
1086	〞
1087	〡
1088	〢
1089	〣
1090	〤
1091	〥
1092	〦
1093	〧
1094	〨
1095	﹋
1096	&
1097	~
1098	￠
1099	￡
1100	￥
1101	§
1102	°
1103	±
1104	μ
1105	?
1106	ˉ
1107	γ
1108	δ
1109	θ
1110	λ
1111	ξ
1112	σ
1113	υ
1114	φ
1115	ψ
1116	ω
1117	α
1118	β
1119	γ
1120	δ
1121	ε
1122	ζ
1123	η
1124	θ
1125	ι
1126	κ
1127	λ
1128	μ
1129	ν
1130	ξ
1131	ο
1132	π
1133	ρ
1134	σ
1135	τ
1136	υ
1137	φ
1138	χ
1139	ψ
1140	ω
1141	∥
1142	′
1143	〃
1144	‵
1145	€
1146	℃
1147	℅
1148	℉
1149	°
1150	√
1151	∞
1152	∟
1153	∠
1154	∥
1155	∩
1156	∪
1157	∫
1158	∮
1159	∴
1160	∵
1161	≒
1162	≠
1163	≡
1164	≡
1165	≧
1166	≦
1167	⊕
1168	⊙
1169	⊥
1170	⊿
1171	︴
1172	├
1173	┤
1174	┬
1175	┴
1176	║
1177	╒
1178	╓
1179	╔
1180	╕
1181	╖
1182	╗
1183	╘
1184	╙
1185	╚
1186	╛
1187	╜
1188	╝
1189	╞
1190	╟
1191	╠
1192	╡
1193	╢
1194	╣
1195	╤
1196	╥
1197	╦
1198	╧
1199	╨
1200	╩
1201	╪
1202	╫
1203	╬
1204	╭
1205	╮
1206	╯
1207	╰
1208	╰
1209	㊣
1210	︴
1211	︵
1212	︶
1213	︷
1214	︸
1215	︹
1216	︺
1217	︻
1218	︼
1219	︽
1220	︾
1221	﹁
1222	﹂
1223	﹃
1224	﹄
1225	﹉
1226	﹊
1227	﹋
1228	﹌
1229	﹎
1230	﹏
1231	￠
1232	￡
1233	ｇｍ
1234	ｇ.ｍ
1235	ｇ,ｍ
1236	ｇ^ｍ
1237	ｇ~ｍ
1238	ｇ\ｍ
1239	ｇ|ｍ
1240	ｇ&ｍ
1241	ｇ@ｍ
1242	ｇ#ｍ
1243	ｇ$ｍ
1244	ｇ%ｍ
1245	ｇ*ｍ
1246	ｇ(ｍ
1247	ｇ)ｍ
1248	ｇ1ｍ
1249	ｇ2ｍ
1250	ｇ3ｍ
1251	ｇ=ｍ
1252	ｇ_ｍ
1253	ｇ+ｍ
1254	ｇ<ｍ
