int	string	int	int	int[]	int[]	int[]	int[]	int[]	int[]	int	int[]
id	任务	星级	类型	任务参数1	任务参数2	任务参数3	任务参数4	任务参数5	奖励物品id	基础数量奖励	等级参数
id	task_name	task_star	task_type	parameter1	parameter2	parameter3	parameter4	parameter5	reward_id	base_reward	level_par
101	拍摄电影	1	1	2201;2202;2203;2204;2205;2206;2207;2208	0;1;2	0;10;20	0;1	0;2			
102	会议、公务、粉丝	1	2	1;2	0	0	0	0			
103	完成订单	1	3	1;2	0	0	0	0			
104	生产指定周边产品	1	4	4001;4002;4003;4004;4005;4006	1;1	0	0	0			
105	生产任意周边产品	1	5	1;2	0	0	0	0			
106	领取城市收益	1	6	1;2	0	0	0	0			
201	拍摄电影	2	1	2201;2202;2203;2204;2205;2206;2207;2209	2;3	10;20	0;1;2	0;2			
202	会议、公务、粉丝	2	2	2;3	0	0	0	0			
203	完成订单	2	3	2;3	0	0	0	0			
204	生产指定周边产品	2	4	4001;4002;4003;4004;4005;4007	2;3	0	0	0			
205	生产任意周边产品	2	5	2;3	0	0	0	0			
206	领取城市收益	2	6	2;3	0	0	0	0			
301	拍摄电影	3	1	2201;2202;2203;2204;2205;2206;2207;2209	1;3	0	0	0			
302	会议、公务、粉丝	3	2	1;3	0	0	0	0			
303	完成订单	3	3	1;3	0	0	0	0			
304	生产指定周边产品	3	4	4001;4002;4003;4004;4005;4007	1;2	0	0	0			
305	生产任意周边产品	3	5	1;2	0	0	0	0			
306	领取城市收益	3	6	1;2	0	0	0	0			
401	拍摄电影	4	1	2201;2202;2203;2204;2205;2206;2207;2210	1;4	0	0	0			
402	会议、公务、粉丝	4	2	1;3	0	0	0	0			
403	完成订单	4	3	1;3	0	0	0	0			
404	生产指定周边产品	4	4	4001;4002;4003;4004;4005;4008	1;3	0	0	0			
405	生产任意周边产品	4	5	1;2	0	0	0	0			
406	领取城市收益	4	6	1;2	0	0	0	0			
501	拍摄电影	5	1	2201;2202;2203;2204;2205;2206;2207;2210	1;4	0	0	0			
502	会议、公务、粉丝	5	2	1;3	0	0	0	0			
503	完成订单	5	3	1;3	0	0	0	0			
504	生产指定周边产品	5	4	4001;4002;4003;4004;4005;4008	1;3	0	0	0			
505	生产任意周边产品	5	5	1;2	0	0	0	0			
506	领取城市收益	5	6	1;2	0	0	0	0			
601	拍摄电影	6	1	2201;2202;2203;2204;2205;2206;2207;2211	1;5	0	0	0			
602	会议、公务、粉丝	6	2	1;3	0	0	0	0			
603	完成订单	6	3	1;3	0	0	0	0			
604	生产指定周边产品	6	4	4001;4002;4003;4004;4005;4009	1;4	0	0	0			
605	生产任意周边产品	6	5	1;2	0	0	0	0			
606	领取城市收益	6	6	1;2	0	0	0	0			
