int	string	string	int	string	int[]	DTlValue2[]	DTlValue3[]	string
id	Key	变量名称	正整数参数|n|没有参数需要填充0	字符串参数	正整数数组参数	二维数组	三维数组	备注
id	key	name	value	value4	value1	value2	value3	tips
1	Gold_Convert_Count	金币兑换初始每日次数	3					金币兑换
2	Gold_Convert_Times	金币兑换每日刷新时间（点）	0					金币兑换
3	Actor_Training_OpenLevel	艺人培训开启等级	30					艺人培训
4	Licence_Store_Max	拍摄许可证上限	2					拍摄
5	Licence_Restore_Max	每日许可证回复数量	5					拍摄
6	Script_choose_num	初始剧本可选择数量	3					拍摄
7	Popularize_Duration	电影下线后的持续收益时间（分钟）	120					拍摄
8	Movie_Shoot_Time	电影拍摄时长（秒）	50					拍摄
9	Max_Movie_Num	最多可同时进行持续收益的电影数量	5					拍摄
10	Max_Movie_Popularize_Level	电影关注度最大等级	20					拍摄
11	Licence_Restore_Time	许可证回复刷新时间（每日N点）	22					拍摄
12	Max_Expect	电影期待值最高等级	5					拍摄
13	Tired_Times	电影同类拍摄疲劳度	5					拍摄
14	Movie_Stop_Tips	电影提前下映收益（%）	50					拍摄
15	Block_Ranking_List_Reset	分组排行榜刷新时间（每日N点）	22					街区排行
16	Block_Ranking_List_Player_Num	分组排行榜玩家数量	100					街区排行
17	Server_Ranking_List_Reset	同服排行榜刷新时间（每日N点）	22					同服排行
18	Block_Ranking_List_Congratulate_Times	街区排行祝贺次数	3					街区排行
19	Block_Ranking_List_Congratulate_Cd	街区排行祝贺冷却（秒）	3600					街区排行
20	Story_CD	剧本冷却时间（分钟）	240					拍摄
21	Golden_Story_Time	金本属性加成时间（秒）	15					拍摄
22	Golden_Story_Num	金本属性加成次数	3					拍摄
23		奥斯卡比赛单次大卖奖励道具	0			1:10;2:20		奥斯卡
24		奥斯卡比赛大卖奖励上限	3					奥斯卡
25		奥斯卡颁奖时间	22					奥斯卡
26		奥斯卡颁奖前禁止拍摄电影时间（秒）	3000					奥斯卡
27		首次合作奖励			2:50			合作
28		首次账号查找建立合作奖励			2:50			合作
29		每周合作次数	3					合作
30		合作任务刷新时间（每日N点）	0					
31		媒体访问等级上限	20					
32		媒体访问随机数量区间			3;7			
33		媒体访问数量上限	8					
1001		探查消耗	0		2:100			探查消耗
1002		星探招募探查CD(分)	10					星探招募探查CD(分)
1003		每次探查后CD增加时间(分)	5					每次探查后CD增加时间(分)
1004		探查次数上限	10					探查次数上限
1005		探查CD重置时间(服务器时间)	22					探查CD重置时间(服务器时间)
1006		探查出艺人数量(个)	3					探查出艺人数量(个)
1007		探查出艺人存在时间(分)	30					探查出艺人存在时间(分)
1008		强制探查消耗物品和数量	0		5007:1			强制探查消耗物品和数量
1009		钻石增加艺人上限数量消耗	0		1:500			钻石增加艺人上限数量消耗
1010		自定义艺人名称消耗	0		1:50			自定义艺人名称消耗
1011		体力重置时间(服务器时间)	22					体力重置时间(服务器时间)
1012		钻石培养一次艺人消耗	0		1:10			钻石培养一次艺人消耗
1013		星探次数	1					星探次数
1014		探查星级随机公式	0			1301:60;1302:30;1303:8;1304:2		探查星级随机公式
1015		艺人在楼层中出现的数量上限	4					艺人在楼层中出现的数量上限
1016		模型在楼层中播放事件的数量	15					模型在楼层中播放事件的数量
1017		模型在楼层中移动速度	20					模型在楼层中移动速度
1018		电影上映时,电影院NPC刷新数量	0		5:10			电影上映时,电影院NPC刷新数量
1019		探班时,艺人跑动动作的速度	40					探班时,艺人跑动动作的速度
1020		艺人拍摄电影时，片酬消耗的货币类型	1002					艺人拍摄消耗美元
1021		1级擅长标签描述文字	0	一般擅长				1级擅长标签描述文字
1022		2级擅长标签描述文字	0	普通擅长				2级擅长标签描述文字
1023		3级擅长标签描述文字	0	比较擅长				3级擅长标签描述文字
1024		4级擅长标签描述文字	0	非常擅长				4级擅长标签描述文字
1025		玩家初始艺人上限数量	5					玩家初始艺人上限数量
1026		玩家初始雪藏艺人数量上限	5					玩家初始雪藏艺人数量上限
2003	story_cost_rand	剧本成本随机	0		80;120			剧本成本随机区间
2004	actor_cost_rand	角色成本随机	0		80;120			角色成本随机区间
2009	rand_1	总拍摄次数系数	2					总拍摄次数疲劳系数
2010	rand_2	连续拍摄系数	3					连续拍摄疲劳系数
2011	tired_base	疲劳参考值	50					
2012	tired_con_1	普通疲劳系数	50					疲劳对电影属性影响系数
2013	tired_con_2	金本疲劳系数	40					疲劳对金本属性影响系数
2014	time	拍摄总时长	30					拍摄时进度条总时长
2015	type_timer_con	拍摄类型时机	0		25;40			选择拍摄类型的随机范围
2016	att_rate	属性权重	0		100;20			拍摄时随机属性的权重
2018	att_rand	属性值随机区间	0		80;120			随机区间
2019	delay_con	延时参数	20					
2020	delay_base	延时基准值	50					
2021	delay_count	最多延时条数	3					最多同时冒几条属性
2023	gold_att_con	金本调整系数	50					
2024	gold_count	随机次数	3					金本的额外属性随机几次
2025	bar_con	进度条系数	3					进度条为平均值几倍
2027	evaluate_rand	评价随机参数	0		50;120			随机区间
2028	evaluate_con	媒体评价参数	5000					
2029	box_office_rand	票房随机参数	0		85;125			随机区间
2034	opinions_rand	评价随机参数	0		50;120			随机区间
2035	opinions_con	观众口碑参数	40					
2036	day_con	放映参数	2					
2037	follow_rand	后续票房随机参数	0		50;150			随机区间
2038	random_value	随机评价对照值	50					随机对照值
2039	random_rand	随机范围	0		30;100			随机范围
2040	random_con_1	随机评价系数1	0		25:40:20:1051			随机范围及随机权重
2041	random_con_2	随机评价系数2	0		60:75:20:1052			随机范围及随机权重
2042	random_con_3	随机评价系数3	0		135:150:20:1053			随机范围及随机权重
2043	random_con_4	随机评价系数4	0		170:185:20:1054			随机范围及随机权重
2044	task_convert_times	每日任务及完成度刷新重置	0					每日任务及完成度刷新重置
2045	story_stack_daily_times	剧本搜罗每天搜罗次数	2					
2046	story_stack_search_cost	剧本搜罗每次消耗物品	0			1:10		
2047	story_stack_cd_stage_cost	剧本搜罗每阶段搜罗冷却加速消耗资源类型和数量	0			1:10		
2048	story_stack_cd_stage_length	剧本搜罗阶段时长	600					单位秒
2049	story_stack_cd_stages	剧本搜罗阶段数量	3					
2050	story_stack_cd	剧本搜罗冷却时间	1800					阶段时长*阶段数量，便于程序调用
2051	story_stack_daily_update	每日刷新时间	0					服务器零时刷新
2052	story_stack_cd_block_level	剧本搜罗冷却功能开放所需街区等级	3					
2053	shop_daily_limit	商店每日限购刷新时间	0					服务器每日零时刷新
2054	shop_weekly_limit	商店每周限购刷新时间	0					服务器每周一零时刷新
2055	opinions	观众口碑区间	0		5:95			观众口碑取值限制区间
2056	evaluate	媒体评价区间	0		1:10			媒体评价取值限制区间
2057	fans_rand	拍摄粉丝掉落随机范围	0		90:110			
