int	int	string	string	float	float	string	int[]	int
id	媒体id	媒体名称	评论员	评分下限	评分上限	评价内容	点赞数	图片路径
id	media_id	zh_cn_name	zh_cn_commentators	min_score	max_score	zh_cn_content	praise	pic
101	1	豆瓣	jack	0	1	从未看过的烂电影	11;22	
102	1	豆瓣	jack	1	2	最多给1.9分的电影	11;23	
103	1	豆瓣	jack	2	3	最多给3分的电影	11;24	
104	1	豆瓣	jack	3	4	最多给4分的电影	11;25	
105	1	豆瓣	jack	4	5	最多给5分的电影	11;26	
106	1	豆瓣	jack	5	6	最多给6分的电影	11;27	
107	1	豆瓣	jack	6	7	最多给7分的电影	11;28	
108	1	豆瓣	jack	7	8	最多给8分的电影	11;29	
109	1	豆瓣	jack	8	9	最多给9分的电影	11;30	
110	1	豆瓣	jack	9	10	最多给10分的电影	11;31	
201	2	时光网	Tom	0	1	最多给1分的电影	11;32	
202	2	时光网	Tom	1	2	最多给2分的电影	11;33	
203	2	时光网	Tom	2	3	最多给3分的电影	11;34	
204	2	时光网	Tom	3	4	最多给4分的电影	11;35	
205	2	时光网	Tom	4	5	最多给5分的电影	11;36	
206	2	时光网	Tom	5	6	最多给6分的电影	11;37	
207	2	时光网	Tom	6	7	最多给7分的电影	11;38	
208	2	时光网	Tom	7	8	最多给8分的电影	11;39	
209	2	时光网	Tom	8	9	最多给9分的电影	11;40	
210	2	时光网	Tom	9	10	最多给10分的电影	11;41	
301	3	新闻网	Mike	0	1	最多给1分的电影	11;42	
302	3	新闻网	Mike	1	2	最多给2分的电影	11;43	
303	3	新闻网	Mike	2	3	最多给3分的电影	11;44	
304	3	新闻网	Mike	3	4	最多给4分的电影	11;45	
305	3	新闻网	Mike	4	5	最多给5分的电影	11;46	
306	3	新闻网	Mike	5	6	最多给6分的电影	11;47	
307	3	新闻网	Mike	6	7	最多给7分的电影	11;48	
308	3	新闻网	Mike	7	8	最多给8分的电影	11;49	
309	3	新闻网	Mike	8	9	最多给9分的电影	11;50	
310	3	新闻网	Mike	9	10	最多给10分的电影	11;51	
