int	int	int	int	int
ID	表演类型|n|1随机表演|n|2固定表演	建筑类型|n|1电影院|n|2摄影棚|n|3艺人教室|n|4市场部|n|5宣传部|n|6仓库|n|7销售部|n|8商务部|n|9办公室|n|10接待室|n|11会议室|n|12财务部|n|13训练室|n|14全国商务部|n|15环球商务部|n|16收藏室	表演组	模型类型|n|0玩家助理|n|1男性艺人|n|2女性艺人|n|3男性NPC|n|4女性NPC
id	type	building	group	model
1001	1	1	0	1
1002	1	1	0	2
1003	1	2	0	1
1004	1	2	0	2
1005	2	1	1	3
1006	2	2	1	1
1007	2	2	1	2
1008	2	10	1	1
1009	2	10	1	1
1010	2	10	1	1
1011	2	10	1	2
1012	2	10	1	2
1013	2	10	1	2
1014	2	10	1	3
1015	2	10	1	3
1016	2	10	1	3
1017	2	10	1	4
1018	2	10	1	4
1019	2	10	1	4
1020	2	10	2	1
1021	2	10	2	2
1022	2	10	2	3
1023	2	10	2	4
1024	2	10	3	1
1025	2	10	3	2
1026	2	10	3	3
1027	2	10	3	4
1028	2	11	1	0
1029	2	11	1	3
1030	2	11	1	4
1031	2	11	2	0
1032	2	11	2	3
1033	2	11	2	4
1034	2	11	3	0
1035	2	11	3	3
1036	2	11	3	4
1037	2	11	4	0
1038	2	11	4	3
1039	2	11	4	4
