int	int	DTItemNum	int	int	int[]	int	int	int	int	int	int	int	int	int
等级	粉丝数	剧本奖励1：2，1代表星级，2表示数量	金币奖励数	钻石奖励数	订单品质权重=白；蓝；橙；紫	订单数量	培养次数上限增加	培养次数上限	艺人上限增加	艺人上限	雪藏艺人上限增加	雪藏艺人上限	影片上映天数上限	影片上映天数
id	fans	story	gold	diamond	order_qua	order_num	train_max	train_count	actor_max	actor_count	hide_max	hide_count	day_max	day
1	1000	1301:6	1000	10	100;50;25;12	5	0	0	3	3	6	6	11	11
2	2000	1303:1	1000	10	100;50;25;12	8	0	0	0	3	0	6	0	11
3	3000	1302:1	1000	10	100;50;25;12	8	0	0	0	3	0	6	0	11
4	4000	1303:1	1000	10	100;50;25;12	8	0	0	0	3	0	6	0	11
5	5000	1302:1	1000	10	100;50;25;12	8	0	0	0	3	1	7	1	12
6	6000	1303:1	1000	10	100;50;25;12	8	0	0	0	3	0	7	0	12
7	7000	1302:1	1000	10	100;50;25;12	8	0	0	0	3	0	7	0	12
8	8000	1303:1	1000	10	100;50;25;12	8	1	1	0	3	0	7	0	12
9	9000	1302:1	1000	10	100;50;25;12	8	0	1	0	3	0	7	0	12
10	10000	1303:1	1000	10	100;50;25;12	8	0	1	1	4	1	8	1	13
11	11000	1302:1	1000	10	100;50;25;12	8	0	1	0	4	0	8	0	13
12	12000	1303:1	1000	10	100;50;25;12	8	0	1	0	4	0	8	0	13
13	13000	1302:1	1000	10	100;50;25;12	8	0	1	0	4	0	8	0	13
14	14000	1303:1	1000	10	100;50;25;12	8	0	1	0	4	0	8	0	13
15	15000	1302:1	1000	10	100;50;25;12	8	0	1	0	4	1	9	1	14
16	16000	1303:1	1000	10	100;50;25;12	8	1	2	0	4	0	9	0	14
17	17000	1302:1	1000	10	100;50;25;12	8	0	2	0	4	0	9	0	14
18	18000	1303:1	1000	10	100;50;25;12	8	0	2	0	4	0	9	0	14
19	19000	1302:1	1000	10	100;50;25;12	8	0	2	0	4	0	9	0	14
20	20000	1303:1	1000	10	100;50;25;12	8	0	2	1	5	1	10	1	15
21	21000	1302:1	1000	10	100;50;25;12	8	0	2	0	5	0	10	0	15
22	22000	1303:1	1000	10	100;50;25;12	8	0	2	0	5	0	10	0	15
23	23000	1302:1	1000	10	100;50;25;12	8	0	2	0	5	0	10	0	15
24	24000	1303:1	1000	10	100;50;25;12	8	1	3	0	5	0	10	0	15
25	25000	1302:1	1000	10	100;50;25;12	8	0	3	0	5	1	11	1	16
26	26000	1303:1	1000	10	100;50;25;12	8	0	3	0	5	0	11	0	16
27	27000	1302:1	1000	10	100;50;25;12	8	0	3	0	5	0	11	0	16
28	28000	1303:1	1000	10	100;50;25;12	8	0	3	0	5	0	11	0	16
29	29000	1302:1	1000	10	100;50;25;12	8	0	3	0	5	0	11	0	16
30	30000	1303:1	1000	10	100;50;25;12	8	0	3	1	6	1	12	1	17
31	31000	1302:1	1000	10	100;50;25;12	8	0	3	0	6	0	12	0	17
32	32000	1303:1	1000	10	100;50;25;12	8	1	4	0	6	0	12	0	17
33	33000	1302:1	1000	10	100;50;25;12	8	0	4	0	6	0	12	0	17
34	34000	1303:1	1000	10	100;50;25;12	8	0	4	0	6	0	12	0	17
35	35000	1302:1	1000	10	100;50;25;12	8	0	4	0	6	1	13	1	18
36	36000	1303:1	1000	10	100;50;25;12	8	0	4	0	6	0	13	0	18
37	37000	1302:1	1000	10	100;50;25;12	8	0	4	0	6	0	13	0	18
38	38000	1303:1	1000	10	100;50;25;12	8	0	4	0	6	0	13	0	18
39	39000	1302:1	1000	10	100;50;25;12	8	0	4	0	6	0	13	0	18
40	40000	1303:1	1000	10	100;50;25;12	8	1	5	1	7	1	14	1	19
41	41000	1302:1	1000	10	100;50;25;12	8	0	5	0	7	0	14	0	19
42	42000	1303:1	1000	10	100;50;25;12	8	0	5	0	7	0	14	0	19
43	43000	1302:1	1000	10	100;50;25;12	8	0	5	0	7	0	14	0	19
44	44000	1303:1	1000	10	100;50;25;12	8	0	5	0	7	0	14	0	19
45	45000	1302:1	1000	10	100;50;25;12	8	0	5	0	7	1	15	1	20
46	46000	1303:1	1000	10	100;50;25;12	8	0	5	0	7	0	15	0	20
47	47000	1302:1	1000	10	100;50;25;12	8	0	5	0	7	0	15	0	20
48	48000	1303:1	1000	10	100;50;25;12	8	1	6	0	7	0	15	0	20
49	49000	1302:1	1000	10	100;50;25;12	8	0	6	0	7	0	15	0	20
50	50000	1303:1	1000	10	100;50;25;12	8	0	6	1	8	1	16	1	21
51	51000	1302:1	1000	10	100;50;25;12	8	0	6	0	8	0	16	0	21
52	52000	1303:1	1000	10	100;50;25;12	8	0	6	0	8	0	16	0	21
53	53000	1302:1	1000	10	100;50;25;12	8	0	6	0	8	0	16	0	21
54	54000	1303:1	1000	10	100;50;25;12	8	0	6	0	8	0	16	0	21
55	55000	1302:1	1000	10	100;50;25;12	8	0	6	0	8	1	17	1	22
56	56000	1303:1	1000	10	100;50;25;12	8	1	7	0	8	0	17	0	22
57	57000	1302:1	1000	10	100;50;25;12	8	0	7	0	8	0	17	0	22
58	58000	1303:1	1000	10	100;50;25;12	8	0	7	0	8	0	17	0	22
59	59000	1302:1	1000	10	100;50;25;12	8	0	7	0	8	0	17	0	22
60	60000	1303:1	1000	10	100;50;25;12	8	0	7	1	9	1	18	1	23
61	61000	1302:1	1000	10	100;50;25;12	8	0	7	0	9	0	18	0	23
62	62000	1303:1	1000	10	100;50;25;12	8	0	7	0	9	0	18	0	23
63	63000	1302:1	1000	10	100;50;25;12	8	0	7	0	9	0	18	0	23
64	64000	1303:1	1000	10	100;50;25;12	8	1	8	0	9	0	18	0	23
65	65000	1302:1	1000	10	100;50;25;12	8	0	8	0	9	1	19	1	24
66	66000	1303:1	1000	10	100;50;25;12	8	0	8	0	9	0	19	0	24
67	67000	1302:1	1000	10	100;50;25;12	8	0	8	0	9	0	19	0	24
68	68000	1303:1	1000	10	100;50;25;12	8	0	8	0	9	0	19	0	24
69	69000	1302:1	1000	10	100;50;25;12	8	0	8	0	9	0	19	0	24
70	70000	1303:1	1000	10	100;50;25;12	8	0	8	1	10	1	20	1	25
71	71000	1302:1	1000	10	100;50;25;12	8	0	8	0	10	0	20	0	25
72	72000	1303:1	1000	10	100;50;25;12	8	1	9	0	10	0	20	0	25
73	73000	1302:1	1000	10	100;50;25;12	8	0	9	0	10	0	20	0	25
74	74000	1303:1	1000	10	100;50;25;12	8	0	9	0	10	0	20	0	25
75	75000	1302:1	1000	10	100;50;25;12	8	0	9	0	10	1	21	1	26
76	76000	1303:1	1000	10	100;50;25;12	8	0	9	0	10	0	21	0	26
77	77000	1302:1	1000	10	100;50;25;12	8	0	9	0	10	0	21	0	26
78	78000	1303:1	1000	10	100;50;25;12	8	0	9	0	10	0	21	0	26
79	79000	1302:1	1000	10	100;50;25;12	8	0	9	0	10	0	21	0	26
80	80000	1303:1	1000	10	100;50;25;12	8	1	10	1	11	1	22	1	27
81	81000	1302:1	1000	10	100;50;25;12	8	0	10	0	11	0	22	0	27
82	82000	1303:1	1000	10	100;50;25;12	8	0	10	0	11	0	22	0	27
83	83000	1302:1	1000	10	100;50;25;12	8	0	10	0	11	0	22	0	27
84	84000	1303:1	1000	10	100;50;25;12	8	0	10	0	11	0	22	0	27
85	85000	1302:1	1000	10	100;50;25;12	8	0	10	0	11	1	23	1	28
86	86000	1303:1	1000	10	100;50;25;12	8	0	10	0	11	0	23	0	28
87	87000	1302:1	1000	10	100;50;25;12	8	0	10	0	11	0	23	0	28
88	88000	1303:1	1000	10	100;50;25;12	8	1	11	0	11	0	23	0	28
89	89000	1302:1	1000	10	100;50;25;12	8	0	11	0	11	0	23	0	28
90	90000	1303:1	1000	10	100;50;25;12	8	0	11	1	12	1	24	1	29
91	91000	1302:1	1000	10	100;50;25;12	8	0	11	0	12	0	24	0	29
92	92000	1303:1	1000	10	100;50;25;12	8	0	11	0	12	0	24	0	29
93	93000	1302:1	1000	10	100;50;25;12	8	0	11	0	12	0	24	0	29
94	94000	1303:1	1000	10	100;50;25;12	8	0	11	0	12	0	24	0	29
95	95000	1302:1	1000	10	100;50;25;12	8	0	11	0	12	1	25	1	30
96	96000	1303:1	1000	10	100;50;25;12	8	1	12	0	12	0	25	0	30
