int	int	int	int	int	int	DTItemNum[]	string
剧本目标id	街区档次	剧本目标1（1601：场面  |n|1602：表演  |n|1603：剧情  |n|1604：艺术  |n|1605：娱乐 ）（Property.xlsx)	目标1值	剧本目标2（1601：场面  |n|1602：表演  |n|1603：剧情  |n|1604：艺术  |n|1605：娱乐 ）（Property.xlsx)	目标2值	剧本属性目标达成奖励	备注
id	rank	property1	value1	property2	value2	reward	cn
1001	2501	1603	100	1604	100	2:1000	情多深雨多濛（1001）
1002	2501	1601	100	1603	100	2:1000	神力女超人（1003）
1003	2501	1603	100	1604	100	2:1000	寄生少年(1005)
1004	2501	1601	100	1602	100	2:1000	暗藏危机（1006）
1005	2501	1601	100	1603	100	2:1000	废材少年（1008）
1006	2501	1602	100	1604	100	2:1000	穿山甲说了什么（1010）
1007	2501	1601	100	1603	100	2:1000	江湖险恶（1012）
1008	2501	1601	100	1602	100	2:1000	让子弹再飞一会（1013）
1009	2501	1602	100	1603	100	2:1000	中村下等兵（1015）
1010	2501	1602	100	1603	100	2:1000	再见无期（1016）
1011	2501	1602	100	1603	100	2:1000	飞檐走壁高中生（1017）
1012	2501	1601	100	1603	100	2:1000	海上小子
1013	2501	1603	100	1604	100	2:1000	翡翠之城遇到你
1014	2501	1601	100	1603	100	2:1000	四十米大掌
1015	2501	1601	100	1603	100	2:1000	警察传说
1016	2501	1602	100	1603	100	2:1000	爱情游戏
